"Imported Companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Find Company Profile","Instragram follower","Link - Computed","Scrape Website","job opening","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings","Job Openings","Facebook Page URL","extracted url","Extract URLs and Emails from Text","Ad Status"
,"Burr Rabbit Child Development Centerof WV Inc","Burr Rabbit was started in 1993 and is still a growing daycare center. We serve people in the Greenbrier County of West Virginia. We enroll around 60 students full time during our hours of operation.","Child Day Care Services","11-50 employees","Privately Held","White Sulphur Springs, West Virginia","United States",,"https://www.linkedin.com/company/burr-rabbit-child-development-centerof-wv-inc",,"NaN",,,,,,,,,,,
,"Circle City HQ","At Circle City HQ, we believe in maximizing our impact with our team, our clients, and our customers.
We know that the people who make up each of these components are the foundation from which we operate.

Why Choose Us?
We do whatever is necessary to meet and exceed client expectations. We are available any time via Zoom, call, text, or email. Given a clients targets, we deliver. And, we offer the reporting to prove it.","Telecommunications","11-50 employees","Privately Held","Indianapolis, Indiana","United States","mycityhq.info","https://www.linkedin.com/company/circle-city-hq",,"NaN",,,,,,,,,,,
,"Kyrios Digital Group",,"Digital Accessibility Services","2-10 employees","Partnership","Austin, Texas","United States","kyriosdigitalgroup.in","https://www.linkedin.com/company/kyrios-digital-group",,"NaN",,,,,,,,,,,
,"Suckerz","Better for you hard candy.","Food and Beverage Services","2-10 employees","Privately Held","Los Angeles, California","United States","suckerz.com","https://www.linkedin.com/company/suckerz",,"NaN",,,,,,,,,,,
,"BOT Inc","BOT INC. is a leading Customer Experience platform powered by Conversational Automation & Intelligence.

We make it possible for businesses to reimagine their customer journey by using our integrated platform with the powerful combination of chatbots and live chat, enabling omnichannel global customer experiences.","Software Development","2-10 employees","Public Company","Albany, New York","United States","botinc.ai","https://www.linkedin.com/company/botinc",,"NaN",,,,,,,,,,,
,"Josué Tai","Nos dedicamos a brindar Asesorías de Feng Shui a Hogares, empresas, oficinas y negocios en general, reubicando los espacios para atraer Energía positiva y para mejorar la calidad de vida de nuestros clientes.

Así como, compartimos una ideología de vida para meditar, enfocar y disciplinar nuestro ser, en pro de la salud física y mental de nuestros clientes.","Professional Training and Coaching","2-10 employees","Public Company","Converse, Texas","United States","josuetai.com","https://www.linkedin.com/company/josué-tai",,"NaN",,,,,,,,,,,
,"Persec","Persec is a unified AI-driven platform offering holistic brand growth. With content creation, social media integration, deep analytics, and adaptive learning, it's the ultimate tool for enhancing your digital brand footprint.","Software Development","2-10 employees","Self Employed","San Diego","United States","persec.ai","https://www.linkedin.com/company/persec-ai",,"NaN",,,,,,,,,,,
,"Social Media Watch","add later","Retail Office Equipment","2-10 employees","Privately Held","Saint Paul, MN","United States",,"https://www.linkedin.com/company/smwatchllc",,"NaN",,,,,,,,,,,
,"HeliumIQ","HeliumIQ is an online business community management platform; designed for us, by us, and with people like us. A collection of higher education institutions have united to solve the problem of unifying stakeholders in our business communities for the betterment of our independent communities. 

For more information or to see a product demonstration, please visit: www.heliumiq.com","Higher Education","2-10 employees","Privately Held","Bethlehem, PA","United States","heliumiq.com","https://www.linkedin.com/company/heliumiq",,"NaN",,,,,,,,,,,
,"Longhorn Opportunity Fund","Longhorn Opportunity Fund's mission is to generate prosperity for our investment partners, create opportunity for students of The University of Texas at Austin, and give back to the Longhorn Foundation while improving the quality of life for the communities in which our real estate projects are acquired, entitled, and ultimately reimagined.","Real Estate","11-50 employees","Privately Held","Austin, TX","United States",,"https://www.linkedin.com/company/longhornopportuntiyfund",,"NaN",,,,,,,,,,,
,"John Howard Mergers and Acquisitions","Sell your business the right way and get paid what you deserve.

Contact an experienced business broker today.","Financial Services","2-10 employees","Self Employed","Brentwood, TN","United States",,"https://www.linkedin.com/company/alliantcapitaladvisors",,"NaN",,,,,,,,,,,
,"Trafalgar Exploration Services INc","International Geophysical Consulting Group 
Providing Seismic Field Processing,  Acquisition Supervision , Project Management, Technical Audits, H.S.E  Equipment Leasing","Oil and Gas","2-10 employees","Self Owned",,"United States","tesenergy.net","https://www.linkedin.com/company/trafalgar-exploration-services-inc",,"NaN",,,,,,,,,,,
,"By Nicolina","By Nicolina offers a variety of body scrubs, face masks, lip treatments and men's grooming products. Each item is always handmade, made to order, all natural and infused with the highest quality of essential oils.","Retail","2-10 employees","Self Owned","Revere, MA","United States","bynicolina.com","https://www.linkedin.com/company/by-nicolina",,"NaN",,,,,,,,,,,
,"Wings Of Life Inc","Wings of Life is a Christ Centered, Bible based, family focused substance abuse recovery program. 
We restore, disciple, and send.","Individual and Family Services","2-10 employees","Non Profit","Mobile, Alabama","United States","wings-of-life.com","https://www.linkedin.com/company/wings-of-life-inc",,"NaN",,,,,,,,,,,
,"Stark Drones","Stark Drones is an emerging company that participates in sensory networks, UART communications, and aviation design concepts. We are planning to build one of the most efficient aeronautical vehicles ever created to bring a new age to space exploration and transportation.","Airlines and Aviation","2-10 employees","Privately Held","Sterling Heights, Michigan","United States","starkdrones.org","https://www.linkedin.com/company/starkdrones",,"NaN",,,,,,,,,,,
,"Denise Louie Education Center",,"Primary and Secondary Education","11-50 employees","Non Profit",,"United States",,"https://www.linkedin.com/company/denise-louie-education-center",,"NaN",,,,,,,,,,,
,"Champagnes Bistro","A Newport Beach staple for over 30 years, Champagnes opened in 1989 and has stood the test of time as Newports Oldest Deli. While owners have changed it has always been a family-owned and operated Business. Serving Breakfast, Lunch and Dinner Champagnes is a quick and convenient neighborhood kitchen for high quality, home cooked food for any time of day. From our morning baked goods, Boar's Head Deli sandwiches and hand tossed pizza we pride ourselves on great service and amazing food.","Restaurants","11-50 employees","Self Owned","Newport Beach, California","United States","champagnesdeli.com","https://www.linkedin.com/company/champagnes-bistro",,"NaN",,,,,,,,,,,
,"Albuquerque City Drug a FarmaKeio ExpressMeds Company","At Albuquerque City Drug our focus is not on filling prescriptions, but instead on you as a patient. You are a person with needs, preferences, and health goals all your own. Here you are at the center of our care model. We take the time to communicate with you in order to understand your preferences, concerns, and health status so we can help you achieve your health care goals.

Our services are set up for the ease and convenience of staying on track with your healthcare goals. We offer delivery to your home or office, with in person or parcel carrier options in NM. We are also licensed in AZ, CO, FL and WA and can deliver your prescriptions via overnight or 2-day parcel carrier.

Our expertise is at your disposal to ensure medication safety and efficacy and to provide advice for all your health and wellbeing needs.

Contact us today to learn why pharmacy done differently is the right prescription for a better pharmacy.","Retail Health and Personal Care Products","2-10 employees","Privately Held","Albuquerque, New Mexico","United States","abqcitydrug.com","https://www.linkedin.com/company/albuquerque-city-drug-a-farmakeio-expressmeds-company",,"NaN",,,,,,,,,,,
,"Tullian","N/A","Internet Publishing","2-10 employees","Privately Held","New York City","United States","na.com","https://www.linkedin.com/company/tullian",,"NaN",,,,,,,,,,,
,"Bears Den Media","Video production services made easy!

We understand that the process of getting a video made can be daunting. At Bears Den Media, we'll help you formulate a plan to get you the best possible content, at a package that will fit your budget.

We're here to help you. Bears Den Media prioritizes keeping our clients in the loop at all times, offering 24/7 live chat services so you don't lose that great idea you may have! Your brand is important to us, our number one goal is to exceed your expectations.","Media Production","2-10 employees","Self Employed","Fall River, MA","United States","bearsdenmedia.com","https://www.linkedin.com/company/limelite-media",,"NaN",,,,,,,,,,,
,"The Primo Enterprises, LLC","At The Primo! We aim to offer our customers the best and the latest products. We have come a long way, so we know exactly which direction to take when providing you with high-quality products. We offer all of this while providing excellent customer service and friendly support. We always keep an eye on the latest products and put our customers' wishes first. The interests of our customers are always our top priority, so we hope you will enjoy our products as much as we enjoy making them available to you.","Internet Publishing","2-10 employees","Public Company","Chicago, Illinois","United States",,"https://www.linkedin.com/company/the-primo-enterprises-llc",,"NaN",,,,,,,,,,,
,"Client Acquisition Accelerator","As a passionate team dedicated to empowering B2C coaches, we specialize in transforming their offers into scalable and profitable programs. We focus on real estate investing, Airbnb, e-commerce, online money-making, nutrition, fitness, relationship coaching, and similar niches.

Our comprehensive solutions address the pain points coaches face, including offer packaging, time optimization, market differentiation, and effective sales and marketing strategies. We implement sales funnels, optimize high-ticket and low-ticket sales, and drive targeted ad campaigns to generate leads and increase sales.

Using our unique OTS (Offer, Traffic, Sales) method enhanced with AI, we streamline the launch of coaching offers, providing coaches with the tools to stand out in the market. We've contributed to the success of seven-figure companies, helping them scale and add millions in revenue. With our experienced team, we offer a select few coaches a partnership opportunity.

If you're a high-level coach aiming to break revenue ceilings, establish scalable systems, and secure higher profit margins, let's connect. Together, we'll revolutionize your coaching business, ensuring growth and long-term success.","Marketing Services","2-10 employees","Self Owned","cheyenne, Wyoming","United States","clientacquisitionaccelerator.com","https://www.linkedin.com/company/scalewithcaa",,"NaN",,,,,,,,,,,
,"ABM Floral","Connecting communities with plants to empower the future of sustainable energy and air quality.

ABM Floral is giving back and creating a beautiful moment in 2020 with initiative's to serve Chicagoland communities through a subscription based pricing model where you receive not only an extra friend to your home or office once a month but as well provided support and weekly webinars for our clients and partnerships to ensure customers gain further insight into how to qualify and manage plants to thrive within there given environment. We strive to create the best possible experience for our clients and ensure you can trust our organization knowing that we strive to not only educate on plants but as well offer our customers products that eliminate toxins and purify the air within there given environment.","Hospitality","2-10 employees","Privately Held","Wheeling, Illinois","United States","abmfloralstudio.com","https://www.linkedin.com/company/abm-floral",,"NaN",,,,,,,,,,,
,"BArC Studio","BArC Studio, was founded 2009 as a co-operative of Architects and Interior designers.  Our mission is to enable the sustainable growth of excellence in design in the built environment.

We draw on a wealth of world-wide experience in design.  From the macro; urbanism, new educational and residential buildings, renovation of existing structures, to the micro; interior fit-outs, show flats, to bespoke design solutions for private residences and furniture.

Every effort is made in the design process to use materials which are local and from sustainable sources.  Particular care is taken to avoid building materials which may off-set toxins post installation.  We believe in supporting other local businesses who share the same goal whilst respecting and adhering to a projects budgetary restraints.","Architecture and Planning","2-10 employees","Public Company","Brooklyn, NY","United States","barcstudio.com","https://www.linkedin.com/company/barc-studio",,"NaN",,,,,,,,,,,
,"MyQACoach.com","This was Diane Kulisek's consulting company.","Business Consulting and Services","2-10 employees","Privately Held","Simi Valley, CA","United States","myqacoach.com","https://www.linkedin.com/company/myqacoach-com",,"NaN",,,,,,,,,,,
,"Belectric USA","Belectric US LLC is part of the BELECTRIC Group, the world technology leader in the development, construction and Operations & Maintenance of large-scale solar power and energy storage projects constructing globally over 300 solar PV power plants with 1.7 GWp PV capacity.

As one of the worlds largest O&M providers, BELECTRICs fully-integrated services support the grid infrastructure contributing to cost reductions in the energy sector through the utilization of state-of-the-art solar power plant and energy storage technology. With over 120 patents and innovations, BELECTRIC has proven its technological leadership in the industry. 

Belectric Incs U.S. Operations are responsible for maintaining 138 MWp of solar PV capacity, spanning various technologies, with service locations throughout the United States and Puerto Rico. All back-up monitoring and engineering capabilities are maintained from our globally integrated German Headquarters.","Renewable Energy Semiconductor Manufacturing","11-50 employees","Privately Held","San Mateo, CA","United States","jurchen-technology.com","https://www.linkedin.com/company/belectric-inc-",,"NaN",,,,,,,,,,,
,"Santtam Life","Empowering you to live your best life.","Health, Wellness and Fitness","2-10 employees","Partnership","Denver, CO","United States","santtamcbd.com","https://www.linkedin.com/company/santtam-life",,"NaN",,,,,,,,,,,
,"Free vbucks Generator","Vbuck Generator v.29.1. Working with all device and all region. Use our Free Vbucks online generator and generate.

>>>>>>>>>>>> https://bit.ly/3sFUpl0 <<<<<<<<<<<<<<<<<<
>>>>>>>>>>>> https://bit.ly/3sFUpl0 <<<<<<<<<<<<<<<<<<

unlimited Free Vbucks. VBuck Generator. SELECT YOUR PLATFORM. Next. 
Users: 251 Last Update: 05/08/2021. RECENT. 2,800 V-Bucks ...
Free VBucks Generator Without Verification
Your V-Bucks Will be Added to Your Game After This In Order to Keep Our Software Stay Undetected From Automatic
Bot, Please Complete the Verification Process. Free V Bucks Generator 2021
Vbuck Generator - Get up to 100,000 Free VBucks 2021
450,000 V BUCKS. VwSSandvich. 450,000 V BUCKS. JGLafter. 75,000 V BUCKS. Babalew. 75,000 V BUCKS.
Vbuck Generator . Vbuck Generator Vbuck Generator 2021 Fortnite Free Vbucks. Vbuck Generator - Get up to 100,000
Free VBuck : Use our free vbuck generator fortnite and generate unlimited free vbuck generator without verification on
survey or offers . Vbuck Generator 2021. Vbuck Generator 
Free Vbucks Generator - Get up to 100,000 Free VBucks
450,000 V BUCKS. JGLafter. 75,000 V BUCKS . Babalew. 75,000 V BUCKS. Free VBucks Generator 2021. Free
VBucks Generator 2021 Free Vbucks Working 100% VBucks Generator 2021. Get Free Unlimited VBucks Cheats in
Fortnite Battle Royale : Use our free vbuck generator and generate unlimited free vbuck generator fortnite without
verification. Free Vbucks Working 100%. Please note that you can only use 
FREE V BUCKS GENERATOR 2021
FREE V BUCKS GENERATOR 2021 (freevbucksgenerator) [FREE V-BUCKS GENERATOR] 2021 #FORTNITE#
¶fortnite#Battle-Royale¶ Vbucks Skins! Free Reedem Codes! Posts. FREE V BUCKS GENERATOR 2021 [fortnite-vbucks-generator] [FREE VBUCKS GENERATOR] (2021) #VBUCKS #FORTNITE FREE SKINS FOR FORTNITE.
Get link; Facebook; Twitter; Pinterest; Email; Other Apps; ","Computer Games","11-50 employees","Public Company","San Jose, California","United States","bit.ly","https://www.linkedin.com/company/free-vbucks-generator-2021",,"NaN",,,,,,,,,,,
,"MP Heating & Cooling, Inc.","MP provides quality hvac services to both the commercial and residential markets across Northern Illinois. We can handle any job from a small residential install to large industrial buildings. Our portfolio includes processed piping for print lines, RTU change-out's, new construction homes and even Big Ass Fans. We focus on building relationships to make every customer a customer for life.","Construction","2-10 employees","Privately Held",,"United States","mphvac.com","https://www.linkedin.com/company/mp-heating-&-cooling-inc.",,"NaN",,,,,,,,,,,
,"JOHNSTON + EICHER","JOHNSTON + EICHER produces the finest quality premium luxury candles. We hand-pour every candle using a proprietary soy and wax blend and infuse them with high-quality luxury fragrances and can scent a room within minutes!","Retail","2-10 employees","Privately Held","St. Louis, Missouri","United States","johnstoneicher.com","https://www.linkedin.com/company/johnston-eicher",,"NaN",,,,,,,,,,,
,"Open Street Trading, Inc.","Open Street Trading, Inc. is building quantitative systems that leverage AI technologies and behavioral sciences for proprietary trading.","Financial Services","2-10 employees","Privately Held","New York, NY","United States","openstreet.quest","https://www.linkedin.com/company/open-street-llc",,"NaN",,,,,,,,,,,
,"Metro Mycology","At our functional mushroom urban farm, we specialize in cultivating high-quality mushrooms and crafting premium-grade ground-up powders for optimal wellness. With a deep commitment to sustainability and organic practices, we carefully cultivate a variety of functional mushrooms renowned for their unique health benefits. Our meticulously harvested and processed powders retain the potent medicinal properties of these mushrooms, offering a convenient and versatile way to incorporate their goodness into your daily routine. From immune support to cognitive enhancement and stress relief, our functional mushroom powders empower you to enhance your mental and physical well-being naturally. Join us in harnessing the power of these remarkable fungi for a healthier and happier life.","Wholesale Raw Farm Products","2-10 employees","Privately Held","Boca Raton, FL","United States","metromycology.com","https://www.linkedin.com/company/metro-mycology",,"NaN",,,,,,,,,,,
,"ANW CONSULTING","Business consulting
Graphics design
Website building
video production
Seminars & trade shows","Business Consulting and Services","2-10 employees","Self Owned","East Hartford, CT","United States","anew-wind.com","https://www.linkedin.com/company/anw-consulting",,"NaN",,,,,,,,,,,
,"Lee Truck Broker, Inc.","LTB Logistics is a full service third party logistics provider located in Stuttgart, Arkansas, that can meet any supply chain need from the production line to the store shelf for customers in all 48 continental United States plus Canada and Mexico. Services include FTL (Full Truck Load), and Intermodal transportation for refrigerated, dry, flatbed and bulk shipments, as well as specialty services for overweight, over-dimension, and time sensitive shipments.

LTB Logistics also provides dry and temperature controlled warehousing, cross-docking, and inventory management services, and offers logistics training and consulting, management of payables and receivables, payroll administration, and staffing assistance in the transportation industry.

The core values of the company are honesty, integrity and the consistent pursuit of excellence. Lee Truck Broker's mission is to provide customers with focused, innovative, and unsurpassed supply chain solutions at the best price while striving to keep vendors financially viable in a volatile and unpredictable market.

LTB Logistics has a sister Mexican company, LTB Operación México S.A. de C.V. to assist our North American cliets with all cross-border Mexico Logistcs. LTB Operación México S.A. de C.V. is a fully staffed Mexican company based in Leon, Guanajuato Mexico.

LTB Logistics is a division of Lee Truck Broker. LTB Logistics also have a thriving intermodal division, LTB Intermodal. LTB Intermodal provides custom solutions to customer needs across North America.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held",,"United States","ltblogistics.com","https://www.linkedin.com/company/lee-truck-broker",,"NaN",,,,,,,,,,,
,"Hahn Auto Restoration","Specializing in the investment grade restoration of Foreign and American Collector Cars, Classic and Antique Cars, Muscle Cars, Sports Cars and Hot Rods. Recognized experts in the restoration of Mercedes-Benz 300SL Gullwings and Roadsters. Full and Partial Restorations.","Motor Vehicle Manufacturing","11-50 employees","Privately Held","Harmony, PA","United States","hahnautorestoration.com","https://www.linkedin.com/company/hahn-and-woodward-auto-restoration",,"NaN",,,,,,,,,,,
,"Stafford Technologies","Stafford Tech is a distinguished managed services provider headquartered in the heart of New England. We're recognized for employing expert engineers delivering cutting-edge solutions and unwavering commitment to security and scalability. We specialize in delivering end-to-end network services, encompassing design, implementation, and ongoing management. Our comprehensive approach ensures that businesses can rely on a seamless and optimized IT infrastructure, freeing them to concentrate on their core operations.

We differentiate ourselves through the use of a robust security posture which in an era of evolving cyber threats require the deployment of state-of-the-art security measures, including advanced firewalls and threat detection systems, safeguarding clients' networks and sensitive data.

Additionally, TriPoint Networks shines in its adaptability and scalability. Regardless of an organization's size or stage of development, TriPoint offers tailored solutions that evolve with their needs, providing a customized experience that aligns with unique goals.

In essence, TriPoint Networks is a trusted partner for businesses seeking dependable managed network services. Our focus on innovation, security, and personalized solutions enables clients to stay ahead in the dynamic technology landscape, allowing them to concentrate on what they do best while entrusting their network management to experts.","Computer and Network Security","2-10 employees","Privately Held","Spencer, Massachusetts","United States","stafford.tech","https://www.linkedin.com/company/staffordtech",,"NaN",,,,,,,,,,,
,"JANA Partners","JANA Partners is an activist investment firm founded in 2001 by Barry Rosenstein. Our driving purpose is to leverage shareholder engagement with the goal of creating substantial value for both our investors and stakeholders.","Investment Management","11-50 employees","Privately Held","New York, NY","United States","janapartners.com","https://www.linkedin.com/company/jana-partners-llc",,"NaN",,,,,,,,,,,
,"Geneva Park Capital","Geneva Park Capital is the Growth Capital fund that can propel your business to greater heights. Our tailored credit solutions cater to the specific needs of lower-middle to middle market companies. We are backed by a family office that understands the challenges of rapid business growth. Geneva Park invests in emerging and pedigree companies led by experienced management teams with a proven track record of creating value. We are committed to providing the financing and expertise necessary to help you achieve your business goals.

We provide non-dilutive capital backed by liquid and illiquid assets, to provide the agility and speed required to keep up with the demands of your business landscape. At Geneva Park Capital, we're more than just a source of funding; we're your dependable partner committed to helping you achieve success. Our team has helped countless companies navigate the challenges of business growth before and is ready to guide you through the journey.

With Geneva Park Capital, you can be confident that you have a team of Sherpas on your side, helping you navigate the climb and achieve new heights of success. Climb higher with us!","Financial Services","11-50 employees","Privately Held","New York, New York","United States","genevaparkcapital.com","https://www.linkedin.com/company/geneva-park-capital",,"NaN",,,,,,,,,,,
,"DEKATAGA GROUP INC","En Dekataga Group trabajamos día a día por el bienestar de las personas que nos rodean, nos encargamos de entregar los mejores productos latinoamericanos de cuidado, salud y belleza en todos los hogares de Estados Unidos. 

Actualmente distribuimos productos al por mayor a emprendedores latinoamericanos y ofrecemos productos al detal por medio de nuestro sitio web.  Hacemos todo esto possible de la mano de nuestro equipo de colaboradores ubicados en Colombia y Estados Unidos","Wholesale","11-50 employees","Privately Held","Woodstock, Georgia","United States","dekatagaonline.com","https://www.linkedin.com/company/dekatagagroupinc",,"NaN",,,,,,,,,,,
,"Blingle of Northeast Cleveland","Blingle! is a nationally-backed premier lighting service that is independently owned and operated. From our customer service representatives to our designers, its our mission to provide you with nothing short of an excellent experience and to provide you with event, holiday, permanent home exterior, and commercial lighting solutions that shine above the rest. Check out our website to learn more!","Consumer Services","2-10 employees","Partnership","Beachwood, Ohio","United States","blingle.com","https://www.linkedin.com/company/blingle-northeast-cleveland",,"NaN",,,,,,,,,,,
